start_s,end_s,duration_s,pitch_midi,pitch_name,pitch_hz,velocity,confidence
51.4527,51.9416,0.4889,62,D4,293.665,66,0.5170
51.1160,51.2553,0.1393,60,C4,261.626,46,0.3645
51.1160,51.6384,0.5224,55,G3,195.998,91,0.7149
50.6168,51.1160,0.4992,55,G3,195.998,96,0.7597
50.5007,50.6168,0.1161,47,B2,123.471,73,0.5775
50.4078,50.7213,0.3135,60,C4,261.626,56,0.4440
50.4078,50.5007,0.0929,47,B2,123.471,80,0.6320
50.2685,50.4078,0.1393,60,C4,261.626,60,0.4755
50.2569,50.6168,0.3599,55,G3,195.998,96,0.7522
50.0711,50.5123,0.4412,62,D4,293.665,62,0.4848
50.0247,50.4078,0.3831,47,B2,123.471,69,0.5446
49.9318,50.1059,0.1741,60,C4,261.626,55,0.4366
49.9318,50.0247,0.0929,47,B2,123.471,94,0.7406
49.7692,49.9318,0.1625,60,C4,261.626,68,0.5385
49.7576,50.2569,0.4992,55,G3,195.998,88,0.6921
49.6054,50.0711,0.4657,62,D4,293.665,61,0.4777
49.4429,49.9318,0.4889,47,B2,123.471,76,0.5999
49.2803,49.6054,0.3251,62,D4,293.665,66,0.5160
48.9320,49.2455,0.3135,60,C4,261.626,43,0.3391
48.9204,49.3384,0.4180,55,G3,195.998,73,0.5746
48.4560,48.9204,0.4644,55,G3,195.998,75,0.5904
48.4212,48.8856,0.4644,60,C4,261.626,56,0.4387
48.3864,48.4560,0.0697,55,G3,195.998,68,0.5343
48.2587,49.2803,1.0217,62,D4,293.665,53,0.4160
48.2587,48.3399,0.0813,60,C4,261.626,48,0.3777
48.1658,48.3748,0.2090,47,B2,123.471,61,0.4835
48.0961,48.2587,0.1625,60,C4,261.626,65,0.5123
48.0961,48.1658,0.0697,47,B2,123.471,70,0.5531
47.5956,47.8639,0.2683,64,E4,329.628,56,0.4407
47.4098,48.0961,0.6863,60,C4,261.626,82,0.6492
47.0848,47.4098,0.3251,60,C4,261.626,87,0.6840
47.0732,47.4795,0.4063,65,F4,349.228,49,0.3888
46.8526,47.0848,0.2322,60,C4,261.626,83,0.6525
46.8526,47.5840,0.7314,48,C3,130.813,48,0.3790
46.6900,46.8526,0.1625,60,C4,261.626,76,0.5998
46.6900,46.8526,0.1625,48,C3,130.813,55,0.4335
46.5275,46.7945,0.2670,65,F4,349.228,40,0.3157
46.1908,48.3864,2.1956,67,G4,391.995,53,0.4183
