start_s,end_s,duration_s,pitch_midi,pitch_name,pitch_hz,velocity,confidence
34.1552,34.9098,0.7546,48,C3,130.813,51,0.4007
53.4741,53.6728,0.1987,65,F4,349.228,50,0.3934
42.0202,42.1480,0.1277,59,B3,246.942,40,0.3157
44.5061,44.8892,0.3831,45,A2,110.000,49,0.3838
4.8323,4.9716,0.1393,48,C3,130.813,49,0.3896
53.1490,53.9398,0.7908,43,G2,97.999,46,0.3617
55.0776,55.4955,0.4180,64,E4,329.628,47,0.3705
24.4196,24.6053,0.1858,53,F3,174.614,48,0.3768
51.4295,51.4991,0.0697,53,F3,174.614,48,0.3778
33.7359,33.8649,0.1290,64,E4,329.628,49,0.3860
21.7932,22.0963,0.3031,65,F4,349.228,47,0.3711
46.9803,47.1893,0.2090,48,C3,130.813,50,0.3900
68.7631,68.9256,0.1625,53,F3,174.614,49,0.3871
4.9949,5.1226,0.1277,52,E3,164.814,49,0.3897
5.4012,6.2616,0.8604,48,C3,130.813,46,0.3634
45.0517,45.2955,0.2438,45,A2,110.000,50,0.3939
41.0205,41.4269,0.4063,48,C3,130.813,41,0.3260
28.4740,28.8688,0.3947,44,G#2,103.826,48,0.3755
61.9210,62.0835,0.1625,65,F4,349.228,43,0.3373
36.0721,36.1766,0.1045,57,A3,220.000,49,0.3845
44.7963,45.0982,0.3019,55,G3,195.998,50,0.3902
46.4927,46.6784,0.1858,55,G3,195.998,49,0.3853
1.8576,2.1259,0.2683,48,C3,130.813,48,0.3808
66.5791,66.6836,0.1045,53,F3,174.614,49,0.3845
42.2176,42.3685,0.1509,71,B4,493.883,48,0.3758
48.9436,49.6286,0.6850,48,C3,130.813,42,0.3326
39.9292,40.2659,0.3367,65,F4,349.228,48,0.3797
14.0454,14.1151,0.0697,59,B3,246.942,48,0.3810
35.6412,35.8979,0.2567,63,D#4,311.127,49,0.3846
42.6124,42.8910,0.2786,50,D3,146.832,45,0.3520
23.8971,24.0829,0.1858,44,G#2,103.826,47,0.3689
51.1857,51.3482,0.1625,48,C3,130.813,46,0.3592
52.1157,52.7775,0.6618,43,G2,97.999,44,0.3430
36.0605,36.2811,0.2206,50,D3,146.832,47,0.3689
3.2637,3.4727,0.2090,48,C3,130.813,42,0.3316
36.4436,36.6990,0.2554,50,D3,146.832,45,0.3571
2.7528,3.0199,0.2670,48,C3,130.813,44,0.3445
3.7977,4.1125,0.3148,48,C3,130.813,40,0.3141
49.4661,49.5358,0.0697,53,F3,174.614,46,0.3618
52.0461,52.2086,0.1625,71,B4,493.883,45,0.3575
16.6706,16.9841,0.3135,53,F3,174.614,43,0.3394
29.2287,29.3796,0.1509,41,F2,87.307,45,0.3563
39.0223,39.1036,0.0813,64,E4,329.628,45,0.3536
45.7032,46.1560,0.4528,71,B4,493.883,41,0.3214
